url,precio,precio_valor,precio_moneda,mantenimiento_valor,caracteristicas,m2_totales,m2_construidos,recamaras,banos,estacionamientos,antiguedad,direccion,ubicacion,descripcion,amenidades,lat,lng,scraped_created_at,scraped_updated_at
https://propiedades.com/inmuebles/casa-en-venta-av-veracruz-las-brisas-veracruz-ver-sn-miguel-angel-de-quevedo-veracruz-31068916,"MXN 1,950,000",1950000.0,MXN,0.0,87 m² const. | 2 rec. | 2 baños,,87.0,2,2,0,2 meses en Propiedades.com,Av Veracruz,"Miguel Ángel de Quevedo, Veracruz, Veracruz de Ignacio de la Llave","Av Veracruz, Las Brisas, Veracruz, Ver. #s/n, Col. Miguel Ángel de Quevedo C.P. 91860, Veracruz",,19.2045949,-96.1649615,2026-06-27T14:44:27.981052,2026-06-27T14:44:27.981052
https://propiedades.com/inmuebles/casa-en-venta-ricardo-flores-magon-veracruz-31499774,"MXN 8,500,000",8500000.0,MXN,0.0,306 m² const. | 2 rec. | 2 baños,,306.0,2,2,0,A estrenar,,"Ricardo Flores Magón, Veracruz, Veracruz de Ignacio de la Llave"," , Col. Ricardo Flores Magón C.P. 91900, Veracruz",,19.1891189,-96.1236731,2026-06-27T14:44:27.981065,2026-06-27T14:44:27.981065
https://propiedades.com/inmuebles/casa-en-venta-astilleros-de-veracruz-veracruz-30471874,"MXN 2,900,000",2900000.0,MXN,0.0,160 m² const. | 3 rec. | 2 baños,,160.0,3,2,0,8 meses en Propiedades.com,,"Astilleros de Veracruz, Veracruz, Veracruz de Ignacio de la Llave"," , Col. Astilleros de Veracruz C.P. 91800, Veracruz",,19.2102729,-96.1831947,2026-06-27T14:44:27.981068,2026-06-27T14:44:27.981068
https://propiedades.com/inmuebles/casa-en-venta-tampico-141-fernando-lopez-arias-veracruz-31449139,"MXN 1,500,000",1500000.0,MXN,0.0,237 m² const. | 8 rec. | 7 baños,,237.0,8,7,0,17 días en Propiedades.com,Tampico #141,"Fernando López Arias, Veracruz, Veracruz de Ignacio de la Llave","Tampico #141, Col. Fernando López Arias C.P. 91820, Veracruz",,19.2136594,-96.17078680000002,2026-06-27T14:44:27.981070,2026-06-27T14:44:27.981070
https://propiedades.com/inmuebles/casa-en-venta-granjas-veracruz-veracruz-27533293,"MXN 3,400,000",3400000.0,MXN,0.0,214 m² const. | 3 rec. | 2 baños,,214.0,3,2,0,2 años en Propiedades.com,,"Granjas Veracruz, Veracruz, Veracruz de Ignacio de la Llave"," , Col. Granjas Veracruz C.P. 91938, Veracruz",,19.1357397,-96.1437515,2026-06-27T14:44:27.981072,2026-06-27T14:44:27.981072
https://propiedades.com/inmuebles/casa-en-venta-inca-102-palma-real-ii-veracruz-31508421,"MXN 636,000",636000.0,MXN,0.0,40 m² const. | 1 rec. | 1 baños,,40.0,1,1,0,A estrenar,INCA #102,"Palma Real II, Veracruz, Veracruz de Ignacio de la Llave","INCA #102, Col. Palma Real II C.P. 91826, Veracruz",,19.1957565,-96.1832889,2026-06-27T14:44:27.981074,2026-06-27T14:44:27.981074
https://propiedades.com/inmuebles/casa-en-venta-nautla-161-miguel-aleman-91898-veracruz-ver-161-miguel-aleman-veracruz-30808717,"MXN 630,000",630000.0,MXN,0.0,232 m² const. | 4 rec. | 2 baños,,232.0,4,2,0,5 meses en Propiedades.com,Nautla 161,"Miguel Alemán, Veracruz, Veracruz de Ignacio de la Llave","Nautla 161, Miguel Alemán, 91898 Veracruz, Ver. #161, Col. Miguel Alemán C.P. 91898, Veracruz",Aire acondicionado | Cisterna | Terraza,19.206732199999998,-96.1537135,2026-06-27T14:44:27.981077,2026-06-27T14:44:27.981077
https://propiedades.com/inmuebles/casa-en-venta-mata-de-pita-veracruz-24833397,"MXN 1,891,000",1891000.0,MXN,0.0,77 m² const. | 3 rec. | 1 baños,,77.0,3,1,0,4 años en Propiedades.com,,"Mata de Pita, Veracruz, Veracruz de Ignacio de la Llave"," , Col. Mata de Pita C.P. 91698, Veracruz",,19.1257301,-96.1775584,2026-06-27T14:44:27.981079,2026-06-27T14:44:27.981079
https://www.propiedades.com/inmuebles/casa-en-venta-col-astilleros-astilleros-de-veracruz-veracruz-31487533,"MXN 1,900,000",1900000.0,MXN,0.0,298 m² const. | 4 rec. | 1 baños | 1 estac.,,298.0,4,1,1,A estrenar,Col. Astilleros,"Astilleros de Veracruz, Veracruz, Veracruz de Ignacio de la Llave","Col. Astilleros, Col. Astilleros de Veracruz C.P. 91800, Veracruz",Alberca | Cisterna,19.2131439,-96.1858472,2026-06-27T14:44:27.981081,2026-06-27T14:44:27.981081
https://propiedades.com/inmuebles/casa-en-venta-veracruz-veracruz-29930880,"MXN 30,000,000",30000000.0,MXN,0.0,671 m² const. | 4 rec. | 4 baños,,671.0,4,4,0,1 año en Propiedades.com,,"Veracruz, Veracruz, Veracruz de Ignacio de la Llave"," , Col. Veracruz C.P. 91709, Veracruz",,19.0955162,-96.1010971,2026-06-27T14:44:27.981083,2026-06-27T14:44:27.981083
